Mechanic,Score
Dice Rolling,144
Grid Movement,50
Hexagon Grid,98
Line of Sight,15
Simulation,-12
Variable Player Powers,-18
Movement Points,29
Modular Board,-12
Scenario / Mission / Campaign Game,-12
Zone of Control,-6
Area Majority / Influence,22
Area Movement,16
Action Queue,11
Cooperative Game,11
Player Elimination,-5
Point to Point Movement,16
Tile Placement,1
Action Points,29
Card Drafting,17
Role Playing,-9
Ratio / Combat Results Table,9
Campaign / Battle Card Driven,-5
Hand Management,27
Variable Phase Order,-11
Die Icon Resolution,4
Semi-Cooperative Game,-4
Variable Set-up,-8
Take That,3
Trading,6
Communication Limits,-4
Critical Hits and Failures,-1
Deck Construction,-2
Legacy Game,1
Once-Per-Game Abilities,-7
Simultaneous Action Selection,-1
Solo / Solitaire Game,-27
Chit-Pull System,14
Auction/Bidding,11
Deck Bag and Pool Building,4
Network and Route Building,-1
Pick-up and Deliver,-2
Worker Placement,0
Alliances,4
Area-Impulse,-5
Income,11
Kill Steal,-3
Passed Action Token,-3
Set Collection,5
Action Retrieval,1
Card Play Conflict Resolution,2
Storytelling,5
Push Your Luck,-5
Minimap Resolution,-2
Enclosure,0
Line Drawing,1
Paper-and-Pencil,3
Loans,-2
Market,0
Ownership,2
Stock Holding,2
Victory Points as a Resource,3
Events,-3
Campaign,1
Battle Card Driven,1
Action Drafting,1
Follow,-1
Voting,0
Secret Unit Deployment,1
Score-and-Reset Game,0
Tech Trees / Tech Tracks,4
Turn Order: Stat-Based,-2
Card Play,1
Conflict Resolution,1
Memory,1
Movement Template,1
End Game Bonuses,-4
Turn Order: Pass Order,-1
Hidden Movement,-1
Team-Based Game,-2
Square Grid,1
Resource to Move,1
Roles with Asymmetric Information,-1
Stat Check Resolution,1
Turn Order: Role Order,-1
Deck Building,1
Drafting,-2
Turn Order: Progressive,-2
Auction: Dutch,-2
Increase Value of Unchosen Resources,-2
Delayed Purchase,-2
Map Addition,1
Narrative Choice / Paragraph,0
Hidden Roles,-1
Traitor Game,-1
Betting and Bluffing,1
Command Cards,1
Deduction,1
Programmed Movement,-1
Rock-Paper-Scissors,1
Track Movement,2
Turn Order: Claim Action,-2
Measurement Movement,2
Three Dimensional Movement,-1
Rondel,2
Contracts,3
Moving Multiple Units,-1
Action/Event,1
Advantage Token,-2
Sudden Death Ending,-2
Tug of War,1
Race,-1
Investment,-1
Network Building,1
Chaining,-1
Move Through Deck,-1
Different Worker Types,-1
Automatic Resource Growth,1
